population,population_batch,group_size,sigma,es_lr,epochs,returncode,elapsed_s,last_test_acc,time_to_90_s,stdout,stderr
512,512,32,0.1,0.5,10,0,16.07965858999887,0.1555,inf,"epoch=7 train_loss=2.3250 train_acc=0.1250 test_loss=2.3122 test_acc=0.1494
epoch=8 train_loss=2.0688 train_acc=0.3125 test_loss=2.3000 test_acc=0.1567
epoch=9 train_loss=2.3053 train_acc=0.0625 test_loss=2.3142 test_acc=0.1534
epoch=10 train_loss=2.1640 train_acc=0.1875 test_loss=2.3086 test_acc=0.1555
time_to_90pct=not_reached elapsed=7.59s",
512,512,32,0.1,1.0,10,0,16.13510483799837,0.1376,inf,"epoch=7 train_loss=2.7229 train_acc=0.1875 test_loss=2.7821 test_acc=0.1419
epoch=8 train_loss=2.0757 train_acc=0.2500 test_loss=2.7135 test_acc=0.1476
epoch=9 train_loss=2.6128 train_acc=0.0000 test_loss=2.7400 test_acc=0.1371
epoch=10 train_loss=2.3373 train_acc=0.3125 test_loss=2.7277 test_acc=0.1376
time_to_90pct=not_reached elapsed=7.43s",
512,512,32,0.1,2.0,10,0,16.440659335999953,0.1944,inf,"epoch=7 train_loss=4.1935 train_acc=0.1250 test_loss=5.1192 test_acc=0.1695
epoch=8 train_loss=3.2406 train_acc=0.3125 test_loss=4.9453 test_acc=0.1902
epoch=9 train_loss=5.6788 train_acc=0.0000 test_loss=4.9404 test_acc=0.1926
epoch=10 train_loss=3.4178 train_acc=0.3125 test_loss=4.9059 test_acc=0.1944
time_to_90pct=not_reached elapsed=7.38s",
512,512,32,0.2,0.5,10,0,16.376952763999725,0.1333,inf,"epoch=7 train_loss=2.4907 train_acc=0.0625 test_loss=2.4059 test_acc=0.1155
epoch=8 train_loss=2.1415 train_acc=0.3125 test_loss=2.3793 test_acc=0.1311
epoch=9 train_loss=2.3427 train_acc=0.0625 test_loss=2.3945 test_acc=0.1317
epoch=10 train_loss=2.1768 train_acc=0.2500 test_loss=2.3883 test_acc=0.1333
time_to_90pct=not_reached elapsed=7.02s",
512,512,32,0.2,1.0,10,0,16.371452118997695,0.127,inf,"epoch=7 train_loss=3.1160 train_acc=0.0625 test_loss=3.1215 test_acc=0.1168
epoch=8 train_loss=2.3479 train_acc=0.2500 test_loss=3.0146 test_acc=0.1311
epoch=9 train_loss=2.7498 train_acc=0.1875 test_loss=3.0384 test_acc=0.1253
epoch=10 train_loss=2.5130 train_acc=0.1875 test_loss=3.0188 test_acc=0.1270
time_to_90pct=not_reached elapsed=7.76s",
512,512,32,0.2,2.0,10,0,15.415617855000164,0.1259,inf,"epoch=7 train_loss=5.9990 train_acc=0.1875 test_loss=6.9770 test_acc=0.1172
epoch=8 train_loss=4.0821 train_acc=0.1875 test_loss=6.4024 test_acc=0.1292
epoch=9 train_loss=5.8959 train_acc=0.0625 test_loss=6.2168 test_acc=0.1278
epoch=10 train_loss=4.2577 train_acc=0.3125 test_loss=6.1706 test_acc=0.1259
time_to_90pct=not_reached elapsed=7.11s",
512,256,64,0.05,0.5,10,0,15.805250584999158,0.1691,inf,"epoch=7 train_loss=2.0122 train_acc=0.1250 test_loss=2.2695 test_acc=0.1631
epoch=8 train_loss=1.8289 train_acc=0.3750 test_loss=2.2664 test_acc=0.1708
epoch=9 train_loss=1.9787 train_acc=0.3750 test_loss=2.2640 test_acc=0.1688
epoch=10 train_loss=2.2040 train_acc=0.1250 test_loss=2.2632 test_acc=0.1691
time_to_90pct=not_reached elapsed=7.14s",
512,256,64,0.05,1.0,10,0,16.74827529200047,0.1786,inf,"epoch=7 train_loss=1.7671 train_acc=0.2500 test_loss=2.5122 test_acc=0.1657
epoch=8 train_loss=1.9043 train_acc=0.2500 test_loss=2.5016 test_acc=0.1783
epoch=9 train_loss=1.8514 train_acc=0.3750 test_loss=2.5028 test_acc=0.1780
epoch=10 train_loss=2.0297 train_acc=0.3750 test_loss=2.5011 test_acc=0.1786
time_to_90pct=not_reached elapsed=7.79s",
512,256,64,0.05,2.0,10,0,17.174401118998503,0.1767,inf,"epoch=7 train_loss=1.7515 train_acc=0.5000 test_loss=3.8665 test_acc=0.1571
epoch=8 train_loss=2.8838 train_acc=0.2500 test_loss=3.8533 test_acc=0.1596
epoch=9 train_loss=2.4733 train_acc=0.1250 test_loss=3.8262 test_acc=0.1705
epoch=10 train_loss=2.4671 train_acc=0.2500 test_loss=3.8097 test_acc=0.1767
time_to_90pct=not_reached elapsed=7.76s",
512,256,64,0.1,0.5,10,0,16.19650486500177,0.17,inf,"epoch=7 train_loss=2.0172 train_acc=0.1250 test_loss=2.2582 test_acc=0.1714
epoch=8 train_loss=1.7258 train_acc=0.5000 test_loss=2.2544 test_acc=0.1725
epoch=9 train_loss=1.9219 train_acc=0.5000 test_loss=2.2549 test_acc=0.1697
epoch=10 train_loss=2.2331 train_acc=0.2500 test_loss=2.2521 test_acc=0.1700
time_to_90pct=not_reached elapsed=7.81s",
512,256,64,0.1,1.0,10,0,15.890918136999971,0.1882,inf,"epoch=7 train_loss=1.6418 train_acc=0.6250 test_loss=2.7661 test_acc=0.1695
epoch=8 train_loss=1.4974 train_acc=0.5000 test_loss=2.7088 test_acc=0.1849
epoch=9 train_loss=1.7176 train_acc=0.1250 test_loss=2.7370 test_acc=0.1876
epoch=10 train_loss=2.4872 train_acc=0.2500 test_loss=2.7345 test_acc=0.1882
time_to_90pct=not_reached elapsed=7.63s",
512,256,64,0.1,2.0,10,0,16.692576787998405,0.2495,inf,"epoch=7 train_loss=2.0117 train_acc=0.3750 test_loss=4.7041 test_acc=0.2160
epoch=8 train_loss=2.2459 train_acc=0.5000 test_loss=4.6053 test_acc=0.2373
epoch=9 train_loss=1.3384 train_acc=0.5000 test_loss=4.6169 test_acc=0.2505
epoch=10 train_loss=2.6926 train_acc=0.6250 test_loss=4.6072 test_acc=0.2495
time_to_90pct=not_reached elapsed=7.15s",
512,256,64,0.2,0.5,10,0,16.851574708001863,0.1656,inf,"epoch=7 train_loss=2.2256 train_acc=0.1250 test_loss=2.2919 test_acc=0.1701
epoch=8 train_loss=1.8334 train_acc=0.7500 test_loss=2.2921 test_acc=0.1664
epoch=9 train_loss=2.0226 train_acc=0.5000 test_loss=2.3004 test_acc=0.1634
epoch=10 train_loss=2.2015 train_acc=0.2500 test_loss=2.2916 test_acc=0.1656
time_to_90pct=not_reached elapsed=7.94s",
512,256,64,0.2,1.0,10,0,16.015627573997335,0.1895,inf,"epoch=7 train_loss=1.8795 train_acc=0.1250 test_loss=2.6525 test_acc=0.1772
epoch=8 train_loss=1.2280 train_acc=0.7500 test_loss=2.6909 test_acc=0.1915
epoch=9 train_loss=1.7696 train_acc=0.2500 test_loss=2.7466 test_acc=0.1889
epoch=10 train_loss=2.5576 train_acc=0.2500 test_loss=2.7283 test_acc=0.1895
time_to_90pct=not_reached elapsed=7.53s",
512,256,64,0.2,2.0,10,0,15.625686643001245,0.2119,inf,"epoch=7 train_loss=2.1204 train_acc=0.6250 test_loss=5.9671 test_acc=0.1803
epoch=8 train_loss=1.9362 train_acc=0.6250 test_loss=6.0061 test_acc=0.1989
epoch=9 train_loss=3.4067 train_acc=0.2500 test_loss=6.2555 test_acc=0.2084
epoch=10 train_loss=5.2514 train_acc=0.2500 test_loss=6.1842 test_acc=0.2119
time_to_90pct=not_reached elapsed=7.48s",
512,512,64,0.05,0.5,10,0,16.316368937001243,0.157,inf,"epoch=7 train_loss=1.9822 train_acc=0.2500 test_loss=2.2142 test_acc=0.1486
epoch=8 train_loss=1.7365 train_acc=0.3750 test_loss=2.2064 test_acc=0.1520
epoch=9 train_loss=1.9872 train_acc=0.1250 test_loss=2.2056 test_acc=0.1546
epoch=10 train_loss=1.8462 train_acc=0.2500 test_loss=2.2046 test_acc=0.1570
time_to_90pct=not_reached elapsed=7.64s",
512,512,64,0.05,1.0,10,0,16.390995627003576,0.168,inf,"epoch=7 train_loss=1.7424 train_acc=0.5000 test_loss=2.4796 test_acc=0.1617
epoch=8 train_loss=1.9330 train_acc=0.3750 test_loss=2.4803 test_acc=0.1638
epoch=9 train_loss=1.8993 train_acc=0.1250 test_loss=2.4874 test_acc=0.1667
epoch=10 train_loss=1.6779 train_acc=0.3750 test_loss=2.4828 test_acc=0.1680
time_to_90pct=not_reached elapsed=7.70s",
512,512,64,0.05,2.0,10,0,16.550062472000718,0.1621,inf,"epoch=7 train_loss=1.7618 train_acc=0.2500 test_loss=4.8592 test_acc=0.1614
epoch=8 train_loss=3.8454 train_acc=0.2500 test_loss=4.8403 test_acc=0.1582
epoch=9 train_loss=4.2049 train_acc=0.1250 test_loss=4.7503 test_acc=0.1632
epoch=10 train_loss=3.1981 train_acc=0.2500 test_loss=4.7358 test_acc=0.1621
time_to_90pct=not_reached elapsed=8.00s",
512,512,64,0.1,0.5,10,0,17.010470812001586,0.1732,inf,"epoch=7 train_loss=2.2470 train_acc=0.2500 test_loss=2.2909 test_acc=0.1435
epoch=8 train_loss=1.6433 train_acc=0.5000 test_loss=2.2691 test_acc=0.1703
epoch=9 train_loss=1.9072 train_acc=0.2500 test_loss=2.2685 test_acc=0.1722
epoch=10 train_loss=2.0678 train_acc=0.3750 test_loss=2.2666 test_acc=0.1732
time_to_90pct=not_reached elapsed=7.90s",
512,512,64,0.1,1.0,10,0,15.99499807599932,0.2076,inf,"epoch=7 train_loss=2.6144 train_acc=0.2500 test_loss=2.6766 test_acc=0.1708
epoch=8 train_loss=1.3675 train_acc=0.5000 test_loss=2.6180 test_acc=0.1997
epoch=9 train_loss=1.6793 train_acc=0.3750 test_loss=2.6489 test_acc=0.2041
epoch=10 train_loss=1.7346 train_acc=0.3750 test_loss=2.6354 test_acc=0.2076
time_to_90pct=not_reached elapsed=7.27s",
